tv_show_id,tv_show_name,tv_show_streaming_service,tv_show_genre1,tv_show_genre2,tv_show_IMDB_rating,tv_show_RT_rating,tv_show_our_rating,tv_show_description,tv_show_keyword1,tv_show_keyword2,tv_show_keyword3,tv_show_suggester_name,tv_show_image,tv_show_completed,ongoing,episode_count,season_count,episode_length_minutes,episodes_per_season,day_of_release
1,Shrinking,Apple TV+,Comedy,Drama,8.0,91,,"A grieving therapist starts to break the rules by telling his clients exactly what he thinks. Jimmy has lost his wife and wants to try a new approach to his loss, but it is unclear how this will help others",,,,James,,FALSE,TRUE,10,1,,,
2,Ted Lasso,Apple TV+,Comedy,Drama,8.8,90,,"An American football coach is hired to manage a British soccer team; what he lacks in knowledge, he makes up for in optimism, determination and biscuits.",,,,James,,TRUE,FALSE,34,3,,,
3,The Morning Show,Apple TV+,Drama,,8.2,64,,"An unapologetically candid drama that looks at the modern workplace through the lens of the people who help wake America up, pulling back the curtain on early morning TV.",,,,James,,FALSE,TRUE,30,3,,,
4,Severance,Apple TV+,Drama,,8.7,97,,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives; when a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",,,,James,,FALSE,TRUE,9,1,,,
5,Hello Tomorrow!,Apple TV+,Comedy,Drama,6.3,54,,"In a retro-futuristic world, charismatic salesman Jack Billings leads a team of fellow sales associates determined to revitalize their customers' lives by hawking timeshares on the moon.",,,,James,,FALSE,TRUE,10,1,,,
6,For All Mankind,Apple TV+,Drama,,8.1,90,,Exploring the possibilities that might exist if the global space race had continued and where humanity would be now.,,,,James,,FALSE,TRUE,30,3,,,
7,See,Apple TV+,Drama,,7.6,63,,"In the far future, humankind has lost its sense of sight; the father of twins who are born with the mythic ability to see must protect his tribe against a threatened queen.",,,,James,,FALSE,FALSE,24,3,,,
8,The Big Door Prize,Apple TV+,Comedy,,6.4,92,,"A small town is forever changed when a mysterious machine appears, promising to reveal everyone's true potential; soon, residents start changing jobs, rethinking relationships and questioning long-held beliefs.",,,,James,,FALSE,TRUE,10,1,,,
9,Schmigaddon,Apple TV+,Musical,Comedy,7.4,93,,"On a backpacking trip designed to reinvigorate their relationship, a couple discovers a magical town living in a 1940s musical and learn that they can't leave until they find true love.",,,,Sarah,,FALSE,TRUE,12,2,,,
10,Mandalorian,Disney+,Space Western,,8.7,90,,"After the fall of the Galactic Empire, a lone gunfighter makes his way through the outer reaches of the lawless galaxy.",,,,James,,FALSE,TRUE,24,3,,,
