movie_id,movie_name,movie_streaming_service,movie_genre1,movie_genre2,movie_IMDB_rating,movie_RT_rating,movie_our_rating,movie_description,movie_keyword1,movie_keyword2,movie_keyword3,movie_suggester_name,movie_image,movie_completed,is_free,price,runtime_minutes,movie_director
1,Tetris,Apple TV+,Drama,Historical,7.4,82,7,"Henk Rogers discovers Tetris in 1988, and then risks everything by travelling to the Soviet Union, where he joins forces with inventor Alexey Pajitnov to bring the game to the masses.",,,,James,,TRUE,TRUE,,118,Jon S. Baird
2,John Tucker must Die,Hulu,Romance,Comedy,5.7,27,9,"After discovering they are all dating the same same guy (Jesse Metcalfe), three popular students from different cliques band together for revenge, so they enlist the help of a new gal in town and conspire to break the jerk's heart, while destroying his reputation.",,,,Sarah,,FALSE,TRUE,,90,Betty Thomas
3,The Imitation Game,Netflix,Drama,Historical,8.0,90,8.5,"In 1939, newly created British intelligence agency MI6 recruits Cambridge mathematics alumnus Alan Turing (Benedict Cumberbatch) to crack Nazi codes, including Enigma -- which cryptanalysts had thought unbreakable. Turing's team, including Joan Clarke (Keira Knightley), analyze Enigma messages while he builds a machine to decipher them. Turing and team finally succeed and become heroes, but in 1952, the quiet genius encounters disgrace when authorities reveal he is gay and send him to prison.",,,,Sarah,,TRUE,TRUE,,114,Morten Tyldum
4,Glass Onion a Knives Out Mystery,Netflix,Mystery,Crime,7.1,92,,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case.",,,,Sarah,,TRUE,TRUE,,139,Rian Johnson
5,Knives Out,Apple TV+,Mystery,Crime,7.9,97,,"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth.",,,,Sarah,,TRUE,FALSE,3.99,130,Rian Johnson
6,The Menu,Max,Horror,Thriller,7.2,88,,"The film, penned by Will Tracy and Seth Reiss, ""focuses on a young couple who visits an exclusive destination restaurant on a remote island where the acclaimed chef has prepared a lavish tasting menu.""",,,,James,,TRUE,TRUE,,106,Mark Mylod
7,Solo: A Star Wars Story,Disney+,Sci-Fi,Action,6.9,69,,"Young Han Solo finds adventure when he joins forces with a gang of galactic smugglers and a 190-year-old Wookie named Chewbacca. Indebted to the gangster Dryden Vos, the crew devises a daring plan to travel to the mining planet Kessel to steal a batch of valuable coaxium. In need of a fast ship, Solo meets Lando Calrissian, the suave owner of the perfect vessel for the dangerous mission -- the Millennium Falcon.",,,,Sarah,,TRUE,TRUE,,135,Ron Howard
8,Rogue One: A Star Wars Story,Disney+,Sci-Fi,Action,7.8,84,,"Former scientist Galen Erso lives on a farm with his wife and young daughter, Jyn. His peaceful existence comes crashing down when the evil Orson Krennic takes him away from his beloved family. Many years later, Galen becomes the Empire's lead engineer for the most powerful weapon in the galaxy, the Death Star. Knowing that her father holds the key to its destruction, Jyn joins forces with a spy and other resistance fighters to steal the space station's plans for the Rebel Alliance.",,,,Sarah,,TRUE,TRUE,,133,Gareth Edwards
9,Star Wars: Episode IV – A New Hope,Disney+,Space Western,Sci-Fi,8.6,93,,"The Imperial Forces -- under orders from cruel Darth Vader (David Prowse) -- hold Princess Leia (Carrie Fisher) hostage, in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker (Mark Hamill) and Han Solo (Harrison Ford), captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 (Kenny Baker) and C-3PO (Anthony Daniels) to rescue the beautiful princess, help the Rebel Alliance, and restore freedom and justice to the Galaxy.",,,,Sarah,,TRUE,TRUE,,125,George Lucas
10,Star Wars: Episode V - The Empire Strikes Back,Disney+,Space Western,Sci-Fi,8.7,94,,"The adventure continues in this ""Star Wars"" sequel. Luke Skywalker (Mark Hamill), Han Solo (Harrison Ford), Princess Leia (Carrie Fisher) and Chewbacca (Peter Mayhew) face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi master's help will Luke survive when the dark side of the Force beckons him into the ultimate duel with Darth Vader (David Prowse).",,,,Sarah,,TRUE,TRUE,,128,Irvin Kershner
